R1,init,t3,t2,weekly,gaussian,t1,t4,t5,t6,R2,R3,smooth,delay_opt,timevar_est,timevar_sim,fixed,misdelay,filename,estimationDir,simulationDir,infection_file,re_file,infection_exists,re_exists,infection_size,re_size,ReRMSE,RelError,RootDiff,EmpCoverage,CIWidth,OneTrans,DTWdist,frac_normal,overall_normal,slopeError,maxInc,t3diff
3,100,26,20,0.25,0,0,36,56,76,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_26_R_3_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_26_R_3_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_26_R_3_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,283215,1035903,0.22780124501361215,-0.0345057660941372,2,0.18461538461538463,0.08708061855540472,0.9365079365079365,0.05194134813077191,0.6615384615384615,FALSE,0.6492229003168358,5122,6
3.5,100,26,20,0.25,0,0,36,56,76,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_26_R_3.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_26_R_3.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_26_R_3.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,286013,1044709,0.264106651160225,-0.029794862153746045,2,0.18181818181818182,0.055257683504002175,0.9375,0.06251411369362636,0.5454545454545454,FALSE,0.6466043098257789,13161,6
2.5,1000,26,20,0.25,0,0,36,56,76,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_26_R_2.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_26_R_2.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_26_R_2.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,287804,1052552,0.20111644564151243,-0.037530261083750995,1,0.12121212121212122,0.045984805172623544,0.9538461538461539,0.05051979110411308,0.9242424242424242,FALSE,0.6271932720120942,17653,6
3,1000,26,20,0.25,0,0,36,56,76,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_26_R_3_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_26_R_3_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_26_R_3_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,287370,1052448,0.23085144502675237,-0.03076897213273455,2,0.06060606060606061,0.027483711680004963,0.9384615384615385,0.048405928790342556,0.9848484848484849,FALSE,0.6456795937103773,51209,6
3.5,1000,26,20,0.25,0,0,36,56,76,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_26_R_3.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_26_R_3.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_26_R_3.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,287890,1052237,0.2631995998064148,-0.024137332866077908,3,0.045454545454545456,0.017495016272328134,0.9230769230769231,0.054795469953236496,0.9696969696969697,FALSE,0.6622699124977137,131900,6
2.5,10,31,20,0.25,0,0,41,61,81,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_31_R_2.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_31_R_2.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_31_R_2.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,294067,1048206,0.13315935366262882,-0.01460090087008297,2,0.6865671641791045,0.3736504843030999,1,0.025820294060751085,0.9090909090909091,FALSE,0.4033482374121625,255,11
3,10,31,20,0.25,0,0,41,61,81,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_31_R_3_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_31_R_3_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_31_R_3_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,299570,1065752,0.1708353095331161,-0.017183675597112084,2,0.47058823529411764,0.20691387727616428,0.9836065573770492,0.036440505532260255,0.6865671641791045,FALSE,0.4308060456453744,907,11
3.5,10,31,20,0.25,0,0,41,61,81,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_31_R_3.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_31_R_3.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_31_R_3.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,297777,1075223,0.18453947165837947,-0.014629835846151476,2,0.3088235294117647,0.12320794929015266,0.96875,0.03626819141745733,0.6470588235294118,FALSE,0.4090120991684372,2586,11
2.5,100,31,20,0.25,0,0,41,61,81,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_31_R_2.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_31_R_2.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_31_R_2.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,306843,1130935,0.14407958710625945,-0.029395526102195837,2,0.3380281690140845,0.12170791898951372,0.9701492537313433,0.03511715286894853,0.9859154929577465,FALSE,0.3951640247599884,2608,11
3,100,31,20,0.25,0,0,41,61,81,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_31_R_3_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_31_R_3_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_31_R_3_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,305503,1126494,0.15658989428574993,-0.023673834715014754,2,0.18309859154929578,0.06816777585361211,0.9565217391304348,0.03995939982068481,0.8732394366197183,FALSE,0.39339152916227194,8838,11
3.5,100,31,20,0.25,0,0,41,61,81,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_31_R_3.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_31_R_3.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_31_R_3.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,304681,1121881,0.18759517235267426,-0.021503922896565827,2,0.09859154929577464,0.040465911277359434,0.9571428571428572,0.05096390686401196,0.8591549295774648,FALSE,0.39647917431661134,25774,11
2.5,1000,31,20,0.25,0,0,41,61,81,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_31_R_2.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_31_R_2.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_31_R_2.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,306959,1131627,0.1527741650008255,-0.029918380724654713,2,0.09859154929577464,0.0388272193490502,0.9571428571428572,0.0383613406262641,0.7323943661971831,FALSE,0.381503071088245,26257,11
3,1000,31,20,0.25,0,0,41,61,81,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_31_R_3_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_31_R_3_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_31_R_3_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,306829,1132133,0.15956808730082647,-0.02067218072004061,2,0.04225352112676056,0.02185567514069675,0.9428571428571428,0.03545806549060122,0.9577464788732394,FALSE,0.404615675214765,88363,11
3.5,1000,31,20,0.25,0,0,41,61,81,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_31_R_3.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_31_R_3.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_31_R_3.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,307129,1131862,0.19131454507452528,-0.015464671723930566,2,0.014084507042253521,0.013058967369252383,0.9436619718309859,0.06897315166753659,1,FALSE,0.426668588706125,258317,11
2.5,10,36,20,0.25,0,0,46,66,86,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_36_R_2.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_36_R_2.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_36_R_2.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,315002,1136978,0.12880240634809442,-0.00901195077388268,1,0.589041095890411,0.30803396186144427,1,0.033356318641105095,1,FALSE,0.31756782302354303,392,16
3,10,36,20,0.25,0,0,46,66,86,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_36_R_3_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_36_R_3_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_36_R_3_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,320914,1154395,0.12336990673164694,-0.005195814876574639,1,0.4383561643835616,0.15854879293415536,0.9850746268656716,0.030600450392103584,0.9863013698630136,FALSE,0.2931875290807184,1601,16
3.5,10,36,20,0.25,0,0,46,66,86,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_36_R_3.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_36_R_3.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_36_R_3.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,315963,1148529,0.13388817396773384,0.0021644415177784187,1,0.273972602739726,0.08867673624683103,0.9714285714285714,0.03139322632526019,0.875,FALSE,0.2764864472760186,5222,16
2.5,100,36,20,0.25,0,0,46,66,86,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_36_R_2.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_36_R_2.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_36_R_2.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,318567,1180007,0.12490358149421105,-0.012259435700179754,1,0.2702702702702703,0.10045874946730443,0.9714285714285714,0.03677951344520738,1,FALSE,0.29336205962309886,4001,16
3,100,36,20,0.25,0,0,46,66,86,0.5,1.2,smooth,confirmed,FALSE,FALSE,FALSE,0,t_20_36_R_3_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_36_R_3_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_36_R_3_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,322945,1195855,0.13569971072766282,-0.006644904212879232,1,0.14666666666666667,0.05167376466794571,0.9594594594594594,0.044391021134893814,1,FALSE,0.2847784988734063,15608,16
